platform,company_name,job_title,domain_category,skills_required,location,stipend,stipend_raw,duration_months,duration_raw,posted_on,intern_type,location_type,skills_count,has_stipend
Internshala,zFrames Media,Graphic Design,Design,,"Graphic Design




                            zFrames Media                        
Actively hiring













Lucknow",4500.0,"₹ 3,000 - 6,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Herbnexus Pvt Ltd,Brand Ambassador – On-Camera Content Creator (Wellness + Lifestyle),Marketing,,Brand Ambassador,13000.0,"₹ 9,000 - 17,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Lime Learn Eduserv Private Limited,Human Resources (HR),HR,,Human Resources,4000.0,"₹ 3,000 - 5,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,SANNA CAPITAL PRIVATE LIMITED,Data Entry,Other,,"Data Entry




                            SANNA CAPITAL PRIVATE LIMITED                        
Actively hiring













Hyderabad",21500.0,"₹ 18,000 - 25,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Cherag Traders,Data Entry,Other,,"Data Entry




                            Cherag Traders                        
Actively hiring













Hyderabad",21500.0,"₹ 18,000 - 25,000 /month",5.0,5 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Web3Task,Email Marketing,Tech,,Email Marketing,9000.0,"₹ 8,000 - 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Renske Technologies Inc,Game Tester,Other,,Work from home,17500.0,"₹ 15,000 - 20,000 /month",3.0,3 Months,2025-06-26,Paid,Remote,0,True
Internshala,zFrames Media,Video Editing/Making,Other,,Video Editing,6500.0,"₹ 5,000 - 8,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Utsaah Learning Private Limited,Public Speaking & Theatre Coach,Other,,Public Speaking & Theatre Coach,2500.5,"₹ 2,500 - 2,501 /week",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Simran Khatri,Media & Public Relations (PR),Other,,Work from home,4000.0,"₹ 3,000 - 5,000 /month",6.0,6 Months,2025-06-26,Paid,Remote,0,True
Internshala,Times Internet,Marketing,Marketing,,"Marketing




                            Times Internet                        
Actively hiring













Mumbai",9500.0,"₹ 9,000 - 10,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,603 The CoWorking Space India,Video Editing/Making,Other,,Video Editing/Making,19000.0,"₹ 18,000 - 20,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Lakme Lever Private Limited,Content and Social Media Marketing,Marketing,,"Content and Social Media Marketing




                            Lakme Lever Private Limited                        













Mumbai",7500.0,"₹ 5,000 - 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Teamlease Services Limited,Data Entry,Other,,"Data Entry




                            Teamlease Services Limited                        













Bangalore",6000.0,"₹ 5,000 - 7,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,BrandWagon - The Financial Express,Business Research,Research,,"Business Research




                            BrandWagon",7000.0,"₹ 7,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Godrej Infotech,Human Resources (HR),HR,,Human Resources,5500.0,"₹ 4,000 - 7,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Amnet Systems Private Limited,Video Editing/Making,Other,,Video Editing,10000.0,"₹ 8,000 - 12,000 /month",1.0,1 Month,2025-06-26,Paid,Onsite,0,True
Internshala,Blue Tokai Coffee Roasters,Content and Social Media Marketing,Marketing,,"Content and Social Media Marketing




                            Blue Tokai Coffee Roasters                        













Delhi",10000.0,"₹ 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Financial Express (Indian Express Group),Business Research,Research,,"Business Research




                            Financial Express",7500.0,"₹ 5,000 - 10,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Business Development (Sales),Business Development (Sales),Sales,,Business Development (Sales),20500.0,"₹ 18,000 - 23,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Focus Wise Solution,Financial Stock Market Research,Finance,,Work from home,3000.0,"₹ 2,000 - 4,000 /month",1.0,1 Month,2025-06-26,Paid,Remote,0,True
Internshala,Air India SATS Airport Services Private Limited,Finance & Accounting,Finance,,Finance,15000.0,"₹ 15,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,NoBroker,Video Production,Other,,"Video Production




                            NoBroker                        













Bangalore",12500.0,"₹ 10,000 - 15,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,NoBroker,Search Engine Optimization (SEO),Marketing,,Search Engine Optimization,13500.0,"₹ 12,000 - 15,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Wheebox,Sales and Marketing,Marketing,,Sales and Marketing,9000.0,"₹ 8,000 - 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Petpooja,Graphic Design,Design,,"Graphic Design




                            Petpooja                        













Ahmedabad",9500.0,"₹ 9,000 - 10,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Business Development (Sales),Business Development (Sales),Sales,,Business Development,12500.0,"₹ 10,000 - 15,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Aditya Birla Fashion & Retail Limited (ABFRL),Sales Consultant,Sales,,Sales Consultant,30001.0,"₹ 30,001 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Group Bayport,Textile Designer,Design,,"Textile Designer




                            Group Bayport                        













Gurgaon",12500.0,"₹ 10,000 - 15,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Focus Wise Solution,Stock Market Learning & Outreach,Other,,Work from home,3500.0,"₹ 2,000 - 5,000 /month",1.0,1 Month,2025-06-26,Paid,Remote,0,True
Internshala,Kotak Mahindra Bank Limited,Recruitment,Design,,"Recruitment




                            Kotak Mahindra Bank Limited                        













Mumbai",9500.0,"₹ 8,000 - 11,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,More Retail Private Limited,Visual Design,Design,,"Visual Design




                            More Retail Private Limited                        
Actively hiring













Bangalore",32500.0,"₹ 30,000 - 35,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Purplle,E-Commerce Operations,Operations,,"Commerce Operations




                            Purplle                        













Mumbai",20000.0,"₹ 15,000 - 25,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Focus Wise Solution,Human Resources (HR),HR,,Work from home,3500.0,"₹ 2,000 - 5,000 /month",1.0,1 Month,2025-06-26,Paid,Remote,0,True
Internshala,Thomas Cook,Mobile App Development,Tech,,"Mobile App Development




                            Thomas Cook                        
Actively hiring













Mumbai",7500.0,"₹ 5,000 - 10,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Thomas Cook,Finance & Accounting,Finance,,Finance & Accounting,20500.0,"₹ 20,000 - 21,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Navneet Education Limited,Sampling,Other,,"Sampling




                            Navneet Education Limited                        













Mumbai",5000.0,"₹ 5,000 /month",3.0,3 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Sri Sri Tattva,Graphics Designer,Design,,"Graphics Designer




                            Sri Sri Tattva                        













Bangalore",12500.5,"₹ 10,000 - 15,001 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Anarock Property Consultant Private Limited,Content and Social Media Marketing,Marketing,,"Content and Social Media Marketing




                            Anarock Property Consultant Private Limited                        













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Shemaroo Entertainment Limited,Graphic Design,Design,,"Graphic Design




                            Shemaroo Entertainment Limited                        













Mumbai",5000.0,"₹ 5,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Yum! Brands,Google My Business (GMB),Other,,Google My Business (GMB),6000.0,"₹ 6,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,GR Brand,Digital Marketing,Marketing,,"Digital Marketing




                            GR Brand                        













Gurgaon",12500.0,"₹ 10,000 - 15,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Protium,Human Resources (HR) Manager,HR,,Human Resources,25000.0,"₹ 20,000 - 30,000 /month",6.0,6 Months,2025-06-26,Paid,Onsite,0,True
Internshala,Reliance Nippon Life Insurance,Marketing and Sales,Marketing,,Marketing and Sales,5000.0,"₹ 2,000 - 8,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
Internshala,CollegeDekho.com,Human Resources (HR),HR,,Human Resources,0.0,Unpaid,2.0,2 Months,2025-06-26,Unpaid,Onsite,0,False
Internshala,Indian Gifts Portal,Logistics And Operations,Operations,,"Logistics And Operations




                            Indian Gifts Portal                        
Actively hiring













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",2.0,2 Months,2025-06-26,Paid,Onsite,0,True
