job_title,domain_category,skills_required,location,stipend,stipend_raw,duration_months,duration_raw,posted_on,intern_type,location_type,skills_count,has_stipend
Business Development (Sales),Sales,,Business Development,8500.0,"₹ 7,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Graphic Design,Design,,"Graphic Design




                            Alphanumeric Ideas Private Limited                        
Actively hiring













Mohali",4000.0,"₹ 2,000 - 6,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Sales,Sales,,"Sales




                            MatchLog Solutions Private Limited                        
Actively hiring













Mumbai",6500.0,"₹ 5,000 - 8,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Customer Acquisition,Design,,"Customer Acquisition




                            Lyceum Tutorial Private Limited                        
Actively hiring













Mumbai",15000.0,"₹ 10,000 - 20,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,,Business Development,10000.0,"₹ 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Sales and Marketing,Marketing,,"Sales and Marketing




                            Artmansha                        
Actively hiring













Bangalore",10000.0,"₹ 8,000 - 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Accounting & Bookkeeping,Finance,Effective Communication MS-Excel Tally,Accounting,11000.0,"₹ 10,000 - 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Business Development (Sales),Sales,,Business Development,5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Graphic Design Intern,Design,,"Graphic Design Intern




                            Memory Bank                        
Actively hiring













Mumbai",5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Company Secretary (CS),Other,,Company Secretary,9500.0,"₹ 7,000 - 12,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Learning & Development,Other,,Learning,21500.0,"₹ 18,000 - 25,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Key Accounts,Other,,"Key Accounts




                            Flipspaces                        
Actively hiring













Mumbai",9500.0,"₹ 9,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Law/Legal,Research,Legal Drafting Legal Research,Law,4000.0,"₹ 3,000 - 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Business Development Manager,Sales,,"Business Development Manager




                            SnapFind                        













Gurgaon",12500.0,"₹ 10,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Accounts,Finance,Accounting MS-Excel Tally,"Accounts




                            Indian Gifts Portal                        













Mumbai",11000.0,"₹ 10,000 - 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Marketing,Marketing,,"Marketing




                            Modenik Lifestyle Private Limited                        













Bangalore",12000.0,"₹ 12,000 /month",4,4 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,32500.0,"₹ 30,000 - 35,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Web Development,Tech,CSS HTML JavaScript MySQL PHP WordPress,Work from home,5000.0,"₹ 5,000 /month",1,1 Month,2025-07-16,Paid,Remote,1,True
Auditing & Accounting,Finance,MS-Excel,Auditing,5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Client Servicing,Other,,"Client Servicing




                            Anarock Property Consultant Private Limited                        













Mumbai",12500.0,"₹ 10,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Frontend Web Developer,Tech,CSS HTML Next.js React,"Frontend Web Developer




                            IREED Academy India Private Limited                        
Actively hiring













Gurgaon",13500.0,"₹ 12,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Graphic Design,Design,,"Graphic Design




                            IREED Academy India Private Limited                        
Actively hiring













Gurgaon",13500.0,"₹ 12,000 - 15,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,15000.0,"₹ 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Graphic Design,Design,Adobe Illustrator Adobe Photoshop Canva CorelDRAW,"Graphic Design




                            Chase                        
Actively hiring













Delhi",9500.0,"₹ 8,000 - 11,000 /month",2,2 Months,2025-07-16,Paid,Onsite,1,True
Administration,Finance,MS-Excel MS-Office MS-PowerPoint,"Administration




                            NextGen Techno Ventures Private Limited                        













Mumbai",5000.0,"₹ 5,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Business Strategy,Other,,"Business Strategy




                            Caliber Technology                        













Hyderabad",8500.0,"₹ 5,000 - 12,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Recruitment Consultant,Design,,"Recruitment Consultant




                            CII                        













Noida",5502.0,"₹ 5,001 - 6,003 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Data Analytics,Other,,"Data Analytics




                            Scaler                        
Actively hiring













Bangalore",32500.0,"₹ 30,000 - 35,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Customer Service/Customer Support,Other,Effective Communication,Customer Service,5000.0,"₹ 5,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Delegate Acquisition,Design,Effective Communication MS-Excel,"Delegate Acquisition




                            Times Internet                        
Actively hiring













Gurgaon",9500.0,"₹ 9,000 - 10,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Business Development (Sales),Sales,Effective Communication MS-Excel,Business Development,12000.0,"₹ 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,1,True
Search Engine Optimization (SEO),Marketing,Solutions Private Limited,Search Engine Optimization,12500.0,"₹ 10,000 - 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Content Writing,Marketing,Solutions Private Limited,"Content Writing




                            NoBroker Technologies Solutions Private Limited                        













Bangalore",12500.0,"₹ 10,000 - 15,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Marketing,Marketing,,"Marketing




                            Enrich Hair And Skin Solutions Private Limited                        













Mumbai",11000.0,"₹ 10,000 - 12,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,,Business Development,6000.0,"₹ 5,000 - 7,000 /month",6,6 Months,2025-07-16,Paid,Onsite,0,True
Human Resources (HR),HR,,Human Resources,7500.0,"₹ 5,000 - 10,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Content Writer - Hindi,Marketing,Hindi Proficiency (Written),Content Writer,9000.0,"₹ 8,000 - 10,000 /month",4,4 Months,2025-07-16,Paid,Onsite,1,True
Video Editing/Making,Other,,Video Editing,6000.0,"₹ 6,000 /month",2,2 Months,2025-07-16,Paid,Onsite,0,True
Program Management,Other,,Program Management,6500.0,"₹ 5,000 - 8,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Business Development (Sales),Sales,Effective Communication Lead Generation Sales,Business Development,27000.0,"₹ 27,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
Sales,Sales,,"Sales




                            Eduonix Learning Solutions Private Limited                        













Navi Mumbai",6000.0,"₹ 6,000 /month",3,3 Months,2025-07-16,Paid,Onsite,0,True
Trading,Finance,Financial Analysis Stock Trading,Work from home,2150.0,"₹ 1,800 - 2,500 /month",1,1 Month,2025-07-16,Paid,Remote,1,True
Financial Analyst,Finance,,Work from home,1750.0,"₹ 1,500 - 2,000 /month",1,1 Month,2025-07-16,Paid,Remote,0,True
Equity Market Research,Design,Finance Financial literacy Stock Trading,Work from home,2500.0,"₹ 2,000 - 3,000 /month",1,1 Month,2025-07-16,Paid,Remote,1,True
Content Marketing,Marketing,Copywriting Marketing Strategy Market research,"Content Marketing




                            Times Internet                        
Actively hiring













Noida",17500.0,"₹ 15,000 - 20,000 /month",6,6 Months,2025-07-16,Paid,Onsite,1,True
